183 ,mengalir          ,ngocor
184 ,mengaliri         ,ngocori
185 ,mengalirkan       ,ngilekake
186 ,aliran            ,ilen
187 ,alis              ,alis
188 ,aljabar           ,aljabar
189 ,alkohol           ,alkohol
190 ,allah             ,gusti allah
191 ,almanak           ,tanggalan
192 ,almarhum          ,swargi
193 ,almari            ,lemari
194 ,alpa              ,kesupen
195 ,alu               ,alu
196 ,layu              ,alum
197 ,ombak             ,ombak
198 ,alun-alun         ,alun-alun
199 ,hama              ,ama
200 ,amal              ,amal
201 ,amalan            ,amalan
202 ,diamalkan         ,diamalake
203 ,mengamalkan       ,ngamalake
204 ,aman              ,tentrem
205 ,keamanan          ,keamanan
206 ,amanat            ,weling
207 ,amandel           ,amandhel
208 ,amarah            ,nesu
209 ,amat              ,sanget
210 ,amat jauh         ,adoh banget
211 ,amat sakit        ,lara banget
212 ,mengamati         ,niliti
213 ,amatir            ,amatir
214 ,ambal             ,ambal
215 ,ambeien           ,bawasir
216 ,ambil             ,pundhut
217 ,ambilkan          ,pundhutaken
218 ,mengambil         ,mundhut
219 ,amblas            ,ambles
220 ,ambrol            ,ambrol
221 ,ambruk            ,rubuh
222 ,amis              ,amis
223 ,amit              ,nyuwun pamit
224 ,ampas             ,sepahan
225 ,ampela            ,rempela
226 ,ampelas           ,amplas
227 ,ampuh             ,sekti
228 ,ampun             ,kapok
229 ,amril             ,amril
230 ,amsal             ,umpama
231 ,amtenar           ,priyayi
232 ,amuk              ,amuk
233 ,mengamuk          ,ngamuk
234 ,diamuk            ,diamuk
235 ,anai-anai         ,rayap
236 ,anak              ,anak
237 ,anak-anak         ,lare-lare
238 ,beranak           ,babaran
239 ,ngambil anak      ,mupu anak
240 ,anasir            ,usur
241 ,ancak             ,ancak
242 ,ancam             ,ancem
243 ,diancam           ,diancem
244 ,mengancam         ,ngancem
245 ,ancang-ancang     ,ancang0ancang
246 ,ancuk             ,saresmi
247 ,anda              ,panjenengan
248 ,andai kata        ,umpami
249 ,seandainya        ,seumpamane
250 ,andalan           ,piandel
251 ,diandalkan        ,diandalake
252 ,obor              ,obor
253 ,tahi lalat        ,andheng-andheng
254 ,andil             ,andhil
255 ,andong            ,dhokar
256 ,anduk             ,andhuk
257 ,aneh              ,nyele
258 ,aneka             ,werna-werna
259 ,angan-angan       ,angen-angen
260 ,anggap            ,anggep
261 ,menganggap        ,nganggep
262 ,anggapan          ,panggangep
263 ,anggar            ,anggar
264 ,anggota           ,anggota
265 ,angguk            ,anthuk
266 ,mengangguk        ,manthuk
267 ,mengangguk-angguk ,manthuk-manthuk
268 ,anggukan          ,anthukan
269 ,anggun            ,anggun
270 ,angin ribut       ,lisus
271 ,berangin-angin    ,ngisi
272 ,angka             ,angka
273 ,angkara           ,murka
274 ,angkasa           ,awing-awang
275 ,angkat            ,junjung
276 ,berangkat         ,mangkat
277 ,mengangkat        ,ngangkat
278 ,angker            ,angker
279 ,jangkar           ,jangkar
280 ,angkin            ,setagen
281 ,angkuh            ,dumeh
282 ,angkut            ,usung
283 ,angkutan          ,gawaan
284 ,diangkut          ,diangkut
285 ,mengangkut        ,ngusung
286 ,anglo             ,anglo
287 ,angon             ,angon
288 ,angsa             ,banyak
289 ,mengangsur        ,cicil
290 ,angus             ,geseng
291 ,aniaya            ,aniaya
292 ,menganiaya        ,milara
293 ,beranjak          ,ngalih
294 ,anjing            ,asu
295 ,anak anjing       ,kirik
296 ,anjur             ,kongkon
297 ,dianjurkan        ,dianjurake
298 ,anjuran           ,anjuran
299 ,antan             ,alu
300 ,antar             ,terke
301 ,diantarkan        ,diterake
302 ,mengantar         ,ngeterake
303 ,antara            ,antara
304 ,di antaranya      ,antarane
305 ,perantara         ,kongkonan
306 ,tenang            ,anteng
307 ,anti              ,emoh
308 ,antik             ,kuno
309 ,anting            ,piyul
310 ,antré             ,antri
311 ,terantuk          ,kejedhuk
312 ,anus              ,dubur
313 ,anugerah          ,anugerah
314 ,anut              ,melu
315 ,anutan            ,panutan
316 ,anyam             ,anyam
317 ,anyaman           ,anyaman
318 ,menganyam         ,nganyam
319 ,baru              ,anyar
320 ,anyelir           ,anyelir
321 ,anyir             ,amis
322 ,apa               ,apa
323 ,diapakan          ,dikapakake
324 ,mengapa           ,kenang apa
325 ,apa-apaan         ,apa karepe
326 ,apabila           ,manawi
327 ,bau               ,apek
328 ,apalagi           ,apameneh
329 ,apam              ,apem
330 ,aparat            ,piranti
331 ,buah apel         ,apel
332 ,apes              ,cilaka
333 ,api               ,geni
334 ,apik              ,sae
335 ,apit              ,apit
336 ,diapit            ,diapit
337 ,mengapit          ,ngapit
338 ,apkir             ,ora kanggo
339 ,buah alpukat      ,apokat
340 ,apotek            ,apotik
341 ,apung             ,kambang
342 ,mengapung         ,ngambang
343 ,arah              ,tuju
344 ,mengarah          ,tumuju
345 ,arak              ,tuak
346 ,arak-arakan       ,arak-arakan
347 ,mengarak          ,ngiring
348 ,diarak            ,diarak
349 ,halangan          ,alangan
350 ,aram-temaram      ,remeng-remeng
351 ,arang             ,areng
352 ,arbei             ,arbei
353 ,arca              ,reca
354 ,arek              ,bocah
355 ,aren              ,aren
